millis,T_SHTC3,RH_SHTC3,T_SCD40,RH_SCD40,CO2
5550,26.68,46.91,28.56,41.17,946
15586,26.65,46.7,28.13,42.13,946
25622,26.67,46.69,27.75,43.04,941
35658,26.71,46.77,27.47,43.86,935
45696,26.62,46.67,27.2,44.49,935
55732,26.63,46.72,26.99,45.07,935
65768,26.69,46.71,26.76,45.73,928
75804,26.71,46.65,26.64,46,926
85841,26.65,46.73,26.52,46.26,915
95878,26.71,46.87,26.44,46.52,909
105914,26.69,46.97,26.39,46.68,905
115950,26.72,47.14,26.36,46.77,904
125987,26.74,46.92,26.33,46.94,904
136024,26.76,47.2,26.29,47.07,906
146063,26.76,46.91,26.28,47.12,908
156099,26.73,46.91,26.28,47.16,910
166135,26.71,46.97,26.3,47.14,916
176173,26.73,46.97,26.31,47.13,925
186209,26.71,46.72,26.32,47.08,925
196245,26.74,46.82,26.31,47.01,925
206285,26.76,46.6,26.37,46.92,924
216322,26.8,46.47,26.37,46.78,923
226358,26.8,46.41,26.39,46.68,921
236395,26.79,46.29,26.4,46.66,917
246431,26.76,46.39,26.4,46.54,914
256467,26.8,46.75,26.41,46.45,911
266504,26.79,46.72,26.43,46.47,907
276541,26.79,46.71,26.45,46.43,904
286580,26.8,47.32,26.47,46.31,905
296616,26.82,46.89,26.47,46.39,908
306653,26.8,47.07,26.47,46.36,916
316689,26.83,46.65,26.52,46.35,921
326726,26.84,46.44,26.56,46.19,929
336762,26.82,46.35,26.57,46.11,929
346799,26.82,46.68,26.58,46.04,929
356835,26.85,47.1,26.58,45.95,928
366872,26.86,46.68,26.61,46.12,931
376908,26.84,46.29,26.63,45.97,935
386945,26.87,46.15,26.63,45.91,937
396981,26.85,46.26,26.64,45.77,938
407018,26.87,46.23,26.63,45.64,937
417054,26.83,46.16,26.62,45.58,935
427090,26.82,46.17,26.61,45.55,933
437130,26.83,46.36,26.65,45.51,930
447166,26.83,46.43,26.65,45.36,927
457203,26.84,46.65,26.67,45.38,918
467239,26.83,46.21,26.69,45.36,907
477279,26.84,46.63,26.69,45.35,903
487315,26.83,46.66,26.68,45.36,908
497351,26.84,46.16,26.69,45.35,914
507387,26.82,46.24,26.71,45.31,916
517425,26.81,46.31,26.7,45.26,917
527461,26.8,46.51,26.71,45.19,917
537497,26.82,46.25,26.71,45.13,917
547533,26.79,47.94,26.73,45.11,917
557571,26.79,47.4,26.71,45.33,924
567607,26.79,46.81,26.71,45.32,943
577646,26.76,46.36,26.74,45.22,953
587682,26.77,46.21,26.74,45.16,958
597719,26.78,46.13,26.73,45.07,959
607756,26.77,46.14,26.72,44.96,958
617792,26.73,46.18,26.71,44.91,953
627828,26.73,46.28,26.71,44.91,947
637864,26.71,46.21,26.7,44.89,941
647902,26.73,46.53,26.71,44.84,940
657938,26.74,46.29,26.72,44.87,935
667974,26.75,46.39,26.7,44.77,929
678010,26.75,46.46,26.71,44.79,918
688048,26.78,46.45,26.74,44.77,915
698084,26.81,46.54,26.72,44.8,915
708120,26.79,46.89,26.7,44.86,916
718159,26.83,46.94,26.73,44.96,928
728196,26.78,46.82,26.73,45.03,950
738233,26.75,46.47,26.74,45.02,966
748271,26.74,46.38,26.7,44.94,972
758307,26.69,46.32,26.71,44.94,973
768345,26.63,47.07,26.71,44.86,973
778381,26.65,46.87,26.71,44.95,979
788417,26.63,46.91,26.72,44.86,983
798453,26.63,46.69,26.72,44.86,986
808491,26.62,46.94,26.72,44.82,985
818527,26.62,47.08,26.73,44.8,984
828563,26.59,47.8,26.71,44.94,983
838599,26.67,47.14,26.72,44.98,984
848636,26.71,47.32,26.72,45.03,985
858675,26.69,46.96,26.74,45.08,989
868712,26.75,47.16,26.71,45.11,995
878748,26.73,46.94,26.72,45.06,1007
888784,26.77,46.58,26.74,44.98,1012
898821,26.77,46.47,26.73,44.93,1012
908857,26.75,46.29,26.72,44.83,1010
918893,26.73,47.73,26.71,44.83,1008
928930,26.76,47.61,26.72,44.86,1005
938967,26.75,47.07,26.72,44.95,1007
949003,26.76,46.85,26.72,45,1012
959039,26.8,46.71,26.74,45.09,1035
969075,26.77,46.28,26.75,44.96,1039
979112,26.75,46.26,26.72,44.91,1037
989149,26.77,46.34,26.71,44.88,1035
999188,26.75,46.29,26.73,44.77,1028
1009224,26.76,46.36,26.71,44.73,1016
1019262,26.71,46.28,26.73,44.65,999
1029299,26.7,46.61,26.73,44.66,989
1039336,26.7,46.52,26.71,44.65,981
1049372,26.67,46.43,26.72,44.68,978
1059408,26.72,46.4,26.72,44.6,971
1069445,26.72,47.04,26.71,44.56,963
1079481,26.69,46.51,26.75,44.56,960
1089518,26.66,46.45,26.72,44.5,955
1099554,26.65,46.92,26.73,44.56,954
1109591,26.65,47.03,26.72,44.58,955
1119627,26.63,46.9,26.74,44.68,956
1129663,26.68,46.62,26.73,44.72,961
1139702,26.68,46.52,26.7,44.67,970
1149739,26.69,46.8,26.69,44.64,972
1159776,26.69,46.66,26.71,44.7,980
1169812,26.69,47.04,26.7,44.73,985
1179848,26.63,46.62,26.71,44.79,993
1189885,26.66,46.58,26.7,44.72,993
1199922,26.69,46.94,26.73,44.7,993
1209958,26.75,46.39,26.71,44.58,993
1219995,26.69,46.21,26.73,44.54,991
1230031,26.71,46.25,26.74,44.47,989
1240068,26.65,46.2,26.72,44.45,984
1250105,26.74,46.26,26.75,44.44,980
1260141,26.76,46.36,26.75,44.34,977
1270177,26.8,46.47,26.76,44.45,977
1280217,26.76,46.74,26.74,44.41,976
1290255,26.8,46.79,26.75,44.33,972
1300292,26.8,46.38,26.73,44.41,968
1310328,26.8,46.27,26.72,44.35,967
1320365,26.82,46.04,26.72,44.28,966
1330402,26.81,45.9,26.73,44.28,965
1340438,26.81,45.92,26.72,44.23,964
1350474,26.81,45.94,26.75,44.25,963
1360512,26.78,45.86,26.71,44.25,958
1370548,26.76,45.86,26.7,44.17,954
1380584,26.72,46.12,26.67,44.2,950
1390621,26.71,45.89,26.68,44.22,949
1400657,26.72,45.94,26.67,44.19,946
1410694,26.71,45.97,26.67,44.16,942
1420733,26.68,45.96,26.69,44.12,941
1430769,26.63,46.04,26.68,44.14,937
1440806,26.59,46.1,26.65,44.14,934
1450843,26.58,46.17,26.67,44.13,934
1460879,26.55,46.15,26.64,44.09,934
1470916,26.52,46.23,26.65,44.11,932
1480952,26.51,46.36,26.64,44.12,929
1490989,26.54,46.5,26.66,44.08,929
1501025,26.54,46.58,26.63,44.17,927
1511062,26.54,46.58,26.63,44.13,926
1521098,26.52,46.5,26.62,44.17,924
1531134,26.55,46.41,26.65,44.17,924
1541172,26.56,46.33,26.64,44.15,923
1551208,26.56,47.21,26.65,44.16,922
1561249,26.61,46.85,26.66,44.25,924
1571286,26.61,46.45,26.65,44.27,926
1581322,26.65,46.32,26.68,44.18,930
1591359,26.68,46.27,26.66,44.23,930
1601395,26.68,46.13,26.65,44.17,930
1611431,26.71,45.96,26.65,44.13,929
1621469,26.69,45.79,26.65,44.09,929
1631505,26.67,45.7,26.62,44.07,928
1641541,26.65,45.71,26.62,43.98,927
1651578,26.6,45.67,26.62,43.95,917
1661615,26.58,45.62,26.64,43.95,902
1671651,26.58,45.62,26.62,43.89,892
1681687,26.56,45.61,26.61,43.91,881
1691726,26.55,45.59,26.59,43.8,867
1701764,26.55,45.57,26.59,43.73,843
1711800,26.59,45.63,26.57,43.72,827
1721836,26.53,45.71,26.56,43.73,817
1731872,26.52,45.75,26.53,43.75,806
1741910,26.5,45.8,26.56,43.75,798
1751946,26.45,45.79,26.55,43.77,793
1761982,26.43,46,26.53,43.72,789
1772019,26.44,45.92,26.52,43.81,784
1782055,26.48,45.98,26.53,43.81,782
1792092,26.51,46.18,26.52,43.79,781
1802129,26.55,46.21,26.55,43.84,781
1812165,26.61,46.12,26.54,43.92,783
1822201,26.59,46.02,26.55,43.94,791
1832243,26.57,45.94,26.56,43.94,810
1842280,26.58,45.98,26.57,43.93,812
1852316,26.57,46.01,26.55,43.86,813
1862352,26.51,46.01,26.59,43.85,813
1872390,26.53,46.04,26.55,43.84,815
1882426,26.51,45.96,26.56,43.85,815
1892462,26.51,45.97,26.55,43.87,816
1902498,26.5,46.04,26.58,43.83,815
1912536,26.49,46.07,26.56,43.87,816
1922572,26.49,46.11,26.58,43.83,817
1932608,26.55,46.11,26.6,43.81,818
1942645,26.48,46.06,26.6,43.87,819
1952681,26.52,46.08,26.59,43.81,821
1962718,26.52,46.09,26.6,43.79,824
1972757,26.5,46.03,26.6,43.8,827
1982793,26.55,45.97,26.6,43.82,827
1992829,26.53,45.99,26.59,43.78,827
2002867,26.55,45.99,26.62,43.75,828
2012903,26.56,46.02,26.59,43.79,830
2022939,26.56,45.95,26.57,43.84,831
2032975,26.56,45.91,26.55,43.85,833
2043012,26.57,45.9,26.57,43.8,837
2053049,26.55,45.92,26.56,43.84,837
2063085,26.58,45.91,26.58,43.83,838
2073121,26.56,45.85,26.59,43.78,840
2083158,26.55,45.82,26.58,43.76,841
2093194,26.52,45.83,26.58,43.75,843
2103231,26.49,45.92,26.58,43.77,846
2113271,26.41,46.11,26.59,43.8,847
2123308,26.44,46.18,26.6,43.77,847
2133345,26.39,46.13,26.58,43.75,847
2143381,26.38,46.13,26.58,43.77,848
2153417,26.39,46.17,26.59,43.79,848
2163453,26.39,46.36,26.59,43.76,849
2173490,26.43,46.27,26.59,43.78,849
2183527,26.48,46.33,26.59,43.75,849
2193563,26.51,46.08,26.56,43.79,849
2203599,26.51,45.98,26.59,43.75,849
2213636,26.45,45.98,26.59,43.75,849
2223672,26.41,46.03,26.6,43.76,850
2233709,26.38,46.09,26.58,43.73,850
2243745,26.39,46.4,26.54,43.73,850
2253784,26.4,46.32,26.53,43.71,850
2263821,26.37,46.23,26.57,43.73,851
2273857,26.38,46.46,26.58,43.73,851
2283893,26.39,46.39,26.55,43.73,849
2293931,26.39,46.24,26.58,43.68,848
2303967,26.36,46.19,26.57,43.69,849
2314003,26.36,46.16,26.56,43.76,848
2324040,26.36,46.17,26.58,43.77,847
2334076,26.38,46.24,26.55,43.72,848
2344113,26.36,46.2,26.55,43.69,848
2354150,26.42,46.18,26.56,43.68,848
2364186,26.37,46.16,26.55,43.69,848
2374222,26.39,46.15,26.56,43.69,849
2384261,26.37,46.19,26.53,43.72,849
